from_x,from_y,to_x,to_y,destination,origin,number_of_incursions,animal_type
2.213749,46.227638,-7.09262,31.791702,France,Morocco,3,domestic
22.937506,-30.559482,29.154857,-19.015438,South Africa,Zimbabwe,1,domestic
22.937506,-30.559482,28.233608,-29.609988,South Africa,Lesotho,2,domestic
53.688046,32.427908,84.124008,28.394857,Iran,Nepal,1,domestic
90.433601,27.514162,78.96288,20.593684,Bhutan,India,2,domestic
105.318756,61.52401,103.846656,46.862496,Russia,Mongolia,2,wildlife
104.195397,35.86166,105.318756,61.52401,China,Russia,2,wildlife
104.195397,35.86166,103.846656,46.862496,China,Mongolia,2,wildlife
101.975766,4.210484,100.992541,15.870032,Malaysia,Thailand,2,domestic
101.975766,4.210484,113.921327,-0.789275,Malaysia,Indonesia,1,domestic
2.213749,46.227638,-3.74922,40.463667,France,Spain,11,domestic
-3.74922,40.463667,-7.09262,31.791702,Spain,Morocco,11,domestic
20.168331,41.153332,20.902977,42.602636,Albania,Kosovo,1,domestic
14.550072,47.516231,21.005859,44.016521,Austria,Serbia,1,domestic
10.451526,51.165691,47.576927,40.143105,Germany,Azerbaijan,1,domestic
10.451526,51.165691,84.124008,28.394857,Germany,Nepal,1,domestic
14.550072,47.516231,14.995463,46.151241,Austria,Slovenia,1,wildlife
8.227512,46.818188,1.659626,28.033886,Switzerland,Algeria,1,domestic
8.227512,46.818188,-7.09262,31.791702,Switzerland,Morocco,1,domestic
25.748151,61.92411,25.013607,58.595272,Finland,Estonia,1,livestock
10.451526,51.165691,-7.09262,31.791702,Germany,Morocco,2,domestic
-3.74922,40.463667,-8.224454,39.399872,Spain,Portugal,1,domestic
2.213749,46.227638,-8.224454,39.399872,France,Portugal,1,domestic
4.469936,50.503887,-7.09262,31.791702,Belgium,Morocco,1,domestic
20.902977,42.602636,21.745275,41.608635,Kosovo,Republic of North Macedonia,1,wildlife
25.748151,61.92411,78.96288,20.593684,Finland,India,1,domestic
2.213749,46.227638,4.469936,50.503887,France,Belgium,1,domestic
-8.224454,39.399872,-7.09262,31.791702,Portugal,Morocco,1,domestic
4.469936,50.503887,-13.625043,15.333431,Belgium,Senegal,1,domestic
-13.625043,15.333431,-16.089776,13.414049,Senegal,Gambia,1,domestic
-3.435973,55.378051,80.771797,7.873054,United Kingdom,Sri Lanka,1,domestic
10.451526,51.165691,15.2,45.1,Germany,Croatia,2,domestic
12.56738,42.87194,14.995463,46.151241,Italy,Slovenia,1,wildlife
-7.09262,31.791702,67.709953,33.93911,France,Afghanistan,1,domestic
10.451526,51.165691,14.995463,46.151241,Germany,Slovenia,1,domestic
14.995463,46.151241,17.679076,43.915886,Slovenia,Bosnia and Herzegovina,1,domestic
19.145136,51.919438,27.953389,53.709807,Poland,Belarus,3,wildlife
19.145136,51.919438,31.16558,48.379433,Poland,Ukraine,4,wildlife
19.145136,51.919438,105.318756,61.52401,Poland,Russia,2,wildlife
15.2,45.1,24.96676,45.943161,Croatia,Romania,1,livestock
8.468946,60.472024,105.318756,61.52401,Norway,Russia,1,wildlife
5.291266,52.132633,-3.74922,40.463667,Netherlands,Spain,1,domestic
21.824312,39.074208,21.745275,41.608635,Greece,Republic of North Macedonia,1,wildlife
19.699024,48.669026,19.145136,51.919438,Slovakia,Poland,2,wildlife
-7.09262,31.791702,1.659626,28.033886,France,Algeria,1,domestic
-3.435973,55.378051,12.56738,42.87194,United Kingdom,Italy,1,wildlife
12.56738,42.87194,105.318756,61.52401,Italy,Russia,1,wildlife
10.451526,51.165691,25.48583,42.733883,Germany,Bulgaria,1,domestic
25.48583,42.733883,35.243322,38.963745,Bulgaria,Turkey,1,domestic
-106.346771,56.130366,-42.6043,71.706936,Canada,Greenland,1,wildlife
-95.712891,37.09024,-102.552784,23.634501,USA,Mexico,1,livestock
-95.712891,37.09024,100.992541,15.870032,USA,Thailand,1,domestic
-106.346771,56.130366,-95.712891,37.09024,Canada,USA,4,wildlife
-95.712891,37.09024,43.679291,33.223191,USA,Iraq,1,domestic
-95.712891,37.09024,30.802498,26.820553,USA,Egypt,2,domestic
-95.712891,37.09024,-106.346771,56.130366,USA,Canada,1,domestic
-106.346771,56.130366,30.802498,26.820553,Canada,Egypt,1,domestic
-95.712891,37.09024,47.576927,40.143105,USA,Azerbaijan,1,domestic
-106.346771,56.130366,10.451526,51.165691,Canada,Germany,1,domestic
10.451526,51.165691,53.688046,32.427908,Germany,Iran,1,domestic
-51.92528,-14.235004,-63.588653,-16.290154,Brazil,Bolivia,1,domestic
19.699024,48.669026,19.145136,51.919438,Slovakia,Poland,1,domestic
-95.712891,37.09024,-102.552784,23.634501,USA,Mexico,1,domestic